Simulation Name	Brief Description	Fuller Description	Owner	Model Descriptors	Total Length of Run (in years)	Averaging period (in years)	Spinup period (in years)	Coastline name and code numner	CO2 (in ppmv)	CH4 (in ppbv)	N2O (in ppbv)	CFC11 (in pptv)	CFC12 (in pptv)	Computer used for simulation	Compiler used for simulation	Date of first entry in database	Date of most recent modification to entry in database
texYc	142_4_MaBP	This is the 142.4 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Berr, 419	677.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texYb	136_4_MaBP	This is the 136.4 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Vala, 418	699.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texYa	131_2_MaBP	This is the 131.2 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Haut, 417	728.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyz	127_2_MaBP	This is the 127.2 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Barr, 416	752.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyy	121_8_MaBP	This is the 121.8 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Apto, 415	784.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyx	115_8_MaBP	This is the 115.8 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Apti, 414	811.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyw	111_0_MaBP	This is the 111.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Albi, 413	827.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyv	107_0_MaBP	This is the 107.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Albi, 412	840.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyu	102_6_MaBP	This is the 102.6 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Albi, 411	840.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyt	097_2_MaBP	This is the 97.2 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Ceno, 410	840.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
